"Dataset
Name",Accuracy,TPR,TNR,Precision,AUC,Curve,Time train,Time test
abalon,0.6642715841,0.6507698214,0.1724181472,0.654304499,0.739175837,0.575355089,135.8515626,0.1499665737
abalon,0.7666601647,0.647188168,0.8258777222,0.6509099394,0.8624323726,0.7494100809,36.74232554,0.1227986574
abalon,0.7698573333,0.6504975556,0.8274643333,0.6534818889,0.8682325556,0.7776308889,242.0136567,0.1179466667
annealing,0.9565917604,0.8878158524,0.0287467572,0.9565917604,0.5504004448,0.605236263,53.0890692,0.171834421
annealing,0.9143404078,0.4211984616,0.8394382371,0.5326326941,0.8676519261,0.7512724135,18.18031515,0.1138416396
annealing,0.9456467,0.6772178,0.8988054,0.7956897,0.9953553,0.9852196,23.9119858,0.1008604
arrhythmia,0.7456038647,0.4824349119,0.051587191,0.7456038647,0,0.617489813,82.56712122,0.0999776602
arrhythmia,0.9286354365,0.2179481175,0.9515445538,0.3534343773,0.8865833044,0.753459704,17.79280746,0.1094588995
arrhythmia,0.9266411,0.3937415,0.9411619,0.3820312,0.9931253,0.9834905,27.9595142,0.0997456
audiology-std,0.7899999999,0.19125,0.0258489567,0.7899999999,0,0.610611191,47.37319474,0.132781434
audiology-std,0.9270101215,0.1241666667,0.9570964738,0.4688674936,0.8949770868,0.7453224718,14.59180791,0.1051409483
audiology-std,0.948018,0.5998035,0.970369,0.5688146,0.999183,0.9953831,19.6042079,0.0991946
autos,0.7473809524,0.7190714285,0.0641900742,0.7473809524,0.0818865741,0.608549949,45.39888389,0.0967551946
autos,0.7314920635,0.2720343915,0.8372063306,0.151328602,0.8946197867,0.7366959751,14.26098628,0.1067022323
autos,0.7971111,0.4130239,0.8693394,0.367788,0.947626,0.8164653,20.3592765,0.2648228
balance-scale,0.8831029185,0.6381603995,0.0720614913,0.8831029185,0.783049454,0.621841123,45.81992862,0.1110600949
balance-scale,0.9190817546,0.665511224,0.9262487883,0.6532996941,0.8929432094,0.7374708474,16.16653583,0.1156886578
balance-scale,0.9632617,0.9600615,0.9816306,0.9631841,0.9947343,0.9926344,60.6244391,0.7850341
baseball,0.9335820897,0.6130000795,0.1596593434,0.9335820897,0.7266703681,0.656721626,77.30901346,0.1359058142
baseball,0.9144278607,0.6664090706,0.8811921242,0.5255013716,0.9004282951,0.7660732865,20.64104054,0.1072651148
baseball,0.9472636816,0.6370085269,0.8637549717,0.689751044,0.9938161969,0.9887844443,28.35079064,0.1026557445
car,0.9803199355,0.9392314108,0.0067789083,0.9803199355,0.9662262512,0.70341512,51.9985908,0.1815823078
car,0.9438751848,0.6278586871,0.9319345301,0.856623123,0.913924551,0.8019456685,21.22490633,0.1060766459
car,0.9959436752,0.9740109487,0.9970168316,0.9768552385,0.9999612808,0.9998873174,30.50825117,0.1023463964
"cardiotocography-3clases",0.933218177,0.8463249655,0.0750831824,0.933218177,0.8856208916,0.741710655,83.47433753,0.1298820496
cardiotocography-3clases,0.9231744766,0.6913842818,0.8635746703,0.8422639911,0.9260646164,0.8332483947,22.1710386,0.111857605
cardiotocography-3clases,0.9557814392,0.8699704287,0.9403469407,0.8861451192,0.9980472863,0.9963138819,33.4993994,0.1054754973
"cardiotocography-10clases",0.860764904,0.773894795,0.0171774477,0.860764904,0.788121431,0.754682287,97.67005052,0.1359053133
cardiotocography-10clases,0.9605837541,0.7025680264,0.9761343828,0.8169664282,0.9409671545,0.8492812335,22.48918851,0.1059317112
