"Dataset
Name","Algorithm
Name","Cross Validation
[1-10]","Hyper-
Parameters
Values",Accuracy,TPR,TNR,Precision,AUC,Curve,Time train,Time test
abalon,Improved,1,Generation: 3 Batch:25 teacher-student epoches:32,0.779904,0.66178,0.833683,0.662829,0.868504,0.777137,288.283893,0.105209
abalon,Improved,2,Generation: 2 Batch:25 teacher-student epoches:32,0.752791,0.620998,0.814608,0.615093,0.867355,0.773909,231.770639,0.110009
abalon,Improved,3,Generation: 2 Batch:25 teacher-student epoches:32,0.760766,0.638472,0.821416,0.64548,0.866675,0.776265,233.126853,0.105768
abalon,Improved,4,Generation: 3 Batch:25 teacher-student epoches:32,0.776715,0.651279,0.831877,0.647726,0.868941,0.779593,287.241568,0.123123
abalon,Improved,5,Generation: 1 Batch:25 teacher-student epoches:32,0.746411,0.615616,0.810735,0.618993,0.865908,0.775996,176.112087,0.113741
abalon,Improved,6,Generation: 4 Batch:25 teacher-student epoches:32,0.789474,0.682165,0.843147,0.689963,0.865995,0.775802,342.858813,0.105518
abalon,Improved,7,Generation: 1 Batch:25 teacher-student epoches:32,0.786284,0.672727,0.842689,0.677874,0.870797,0.780477,175.710064,0.106612
abalon,Improved,8,Generation: 5 Batch:25 teacher-student epoches:32,0.771383,0.6637,0.825842,0.672248,0.870529,0.779492,307.764137,0.146754
abalon,Improved,9,Generation: 1 Batch:25 teacher-student epoches:32,0.764988,0.647741,0.823182,0.651131,0.869389,0.780007,135.254856,0.144786
abalon,Improved,10,Generation: 1 Batch:25 teacher-student epoches:32,0.705742,0.607655,0.894737,0.74269,0.880155,0.79854,288.074453,0.104416
annealing,Improved,1,Generation: 4 Batch:25 teacher-student epoches:32,0.964444,0.859041,0.952375,0.85285,0.996487,0.989211,26.314449,0.104016
annealing,Improved,2,Generation: 5 Batch:25 teacher-student epoches:32,0.933333,0.393939,0.886667,0.366234,0.995418,0.983888,30.376842,0.105333
annealing,Improved,3,Generation: 4 Batch:25 teacher-student epoches:32,0.973333,0.644444,0.945455,0.783784,0.995651,0.984428,25.357804,0.09502
annealing,Improved,4,Generation: 3 Batch:25 teacher-student epoches:32,0.937778,0.639394,0.883333,0.965,0.99482,0.98534,22.535481,0.10474
annealing,Improved,5,Generation: 1 Batch:25 teacher-student epoches:32,0.916667,0.694178,0.884898,0.649405,0.995178,0.982464,15.551023,0.095212
annealing,Improved,6,Generation: 4 Batch:25 teacher-student epoches:32,0.946667,0.6625,0.904,0.768831,0.995589,0.985531,25.296689,0.103412
annealing,Improved,7,Generation: 3 Batch:25 teacher-student epoches:32,0.955556,0.745536,0.882353,0.975309,0.995914,0.987056,21.984231,0.094635
annealing,Improved,8,Generation: 4 Batch:25 teacher-student epoches:32,0.946667,0.72,0.911111,0.968,0.993322,0.982959,26.064521,0.107693
annealing,Improved,9,Generation: 1 Batch:25 teacher-student epoches:32,0.949438,0.785765,0.885724,0.911859,0.995944,0.987214,15.678684,0.095487
annealing,Improved,10,Generation: 5 Batch:25 teacher-student epoches:32,0.932584,0.627381,0.852138,0.715625,0.99523,0.984105,29.960134,0.103056
arrhythmia,Improved,1,Generation: 2 Batch:50 teacher-student epoches:64,0.931677,0.464286,0.935223,0.466228,0.995153,0.9896,25.405049,0.108126
arrhythmia,Improved,2,Generation: 1 Batch:50 teacher-student epoches:64,0.942029,0.413611,0.946824,0.369444,0.993628,0.981135,19.391028,0.096137
arrhythmia,Improved,3,Generation: 2 Batch:50 teacher-student epoches:64,0.927273,0.317523,0.946964,0.284615,0.991463,0.980368,26.396251,0.0971
arrhythmia,Improved,4,Generation: 5 Batch:50 teacher-student epoches:64,0.920988,0.449074,0.93927,0.305556,0.990325,0.979134,41.249685,0.099094
arrhythmia,Improved,5,Generation: 2 Batch:50 teacher-student epoches:64,0.925926,0.448148,0.93923,0.52381,0.991669,0.981873,25.197411,0.106718
arrhythmia,Improved,6,Generation: 3 Batch:50 teacher-student epoches:64,0.9,0.291667,0.916177,0.308333,0.988978,0.973248,29.995176,0.095802
arrhythmia,Improved,7,Generation: 3 Batch:50 teacher-student epoches:64,0.933333,0.338462,0.950403,0.365476,0.994945,0.984552,30.757577,0.104553
arrhythmia,Improved,8,Generation: 5 Batch:50 teacher-student epoches:64,0.925926,0.308454,0.9458,0.337531,0.996181,0.990533,41.113058,0.095433
arrhythmia,Improved,9,Generation: 1 Batch:50 teacher-student epoches:64,0.925926,0.37619,0.941129,0.396091,0.993936,0.985727,19.346389,0.098823
arrhythmia,Improved,10,Generation: 1 Batch:50 teacher-student epoches:64,0.933333,0.53,0.950599,0.463228,0.994975,0.988735,20.743518,0.09567
audiology-std,Improved,1,Generation: 3 Batch:50 teacher-student epoches:64,0.944444,0.57672,0.964279,0.594444,0.999799,0.996961,21.181922,0.101224
audiology-std,Improved,2,Generation: 3 Batch:50 teacher-student epoches:64,0.9625,0.703125,0.976754,0.671875,0.999781,0.997249,20.295243,0.108771
audiology-std,Improved,3,Generation: 4 Batch:50 teacher-student epoches:64,0.95,0.515873,0.971583,0.460317,0.999686,0.995745,24.93552,0.101821
audiology-std,Improved,4,Generation: 1 Batch:50 teacher-student epoches:64,0.942857,0.785714,0.965278,0.716667,0.999927,0.998776,13.931851,0.093596
audiology-std,Improved,5,Generation: 4 Batch:50 teacher-student epoches:64,0.945455,0.418831,0.971983,0.515152,0.999664,0.995299,24.981543,0.097903
audiology-std,Improved,6,Generation: 1 Batch:50 teacher-student epoches:64,0.9375,0.7375,0.961632,0.6875,0.999831,0.997511,13.487848,0.095169
audiology-std,Improved,7,Generation: 1 Batch:50 teacher-student epoches:64,0.961722,0.746753,0.980064,0.681818,0.999747,0.996548,14.56367,0.094988
audiology-std,Improved,8,Generation: 5 Batch:50 teacher-student epoches:64,0.935223,0.308974,0.96364,0.334615,0.996798,0.988826,27.935339,0.102154
audiology-std,Improved,9,Generation: 1 Batch:50 teacher-student epoches:64,0.957895,0.783333,0.977451,0.616667,0.996968,0.991805,14.849796,0.101889
audiology-std,Improved,10,Generation: 3 Batch:50 teacher-student epoches:64,0.942584,0.421212,0.971026,0.409091,0.999629,0.995111,19.879347,0.094431
autos,Improved,1,Generation: 0 Batch:50 teacher-student epoches:64,0.638095,0.2,0.8,0.019048,0.956746,0.890208,6.544735,0.911789
autos,Improved,2,Generation: 2 Batch:50 teacher-student epoches:64,0.809524,0.508333,0.861197,0.466667,0.94429,0.820278,17.178566,0.100694
autos,Improved,3,Generation: 3 Batch:50 teacher-student epoches:64,0.809524,0.368056,0.887179,0.256944,0.947453,0.806964,21.550225,0.104173
autos,Improved,4,Generation: 4 Batch:50 teacher-student epoches:64,0.695238,0.371667,0.806731,0.336364,0.935819,0.771055,24.719632,0.094641
autos,Improved,5,Generation: 5 Batch:50 teacher-student epoches:64,0.825397,0.340278,0.887464,0.366667,0.948255,0.815427,27.724267,0.094895
autos,Improved,6,Generation: 2 Batch:50 teacher-student epoches:64,0.833333,0.335714,0.886538,0.3375,0.949451,0.820864,18.660571,0.098979
autos,Improved,7,Generation: 3 Batch:50 teacher-student epoches:64,0.84,0.546667,0.895595,0.565079,0.943648,0.799763,20.501226,0.095439
autos,Improved,8,Generation: 1 Batch:50 teacher-student epoches:64,0.8,0.4,0.856373,0.275758,0.935669,0.784965,13.903535,0.103234
autos,Improved,9,Generation: 5 Batch:50 teacher-student epoches:64,0.86,0.538095,0.915073,0.478095,0.954903,0.82504,28.265959,0.096283
autos,Improved,10,Generation: 4 Batch:50 teacher-student epoches:64,0.86,0.521429,0.897244,0.575758,0.960026,0.830089,24.544049,0.948101
balance-scale,Improved,1,Generation: 1 Batch:50 teacher-student epoches:64,1,1,1,1,1,1,70.081457,0.835518
balance-scale,Improved,2,Generation: 1 Batch:50 teacher-student epoches:64,0.968254,0.952381,0.984127,0.967742,0.998173,0.996458,58.283112,0.743362
balance-scale,Improved,3,Generation: 3 Batch:50 teacher-student epoches:64,0.888889,0.888889,0.944444,0.888889,0.991623,0.984049,48.110421,0.794247
